source,year,sector_abbr,control_reg_id,escalation_factor
Planning,2021,ind,18,1.06
Planning,2021,ind,19,1.06
Planning,2021,ind,20,1.06
Planning,2021,ind,21,1.06
Planning,2021,ind,22,1.06
Planning,2021,ind,23,1.06
Planning,2021,ind,24,1.06
Planning,2021,ind,25,1.06
Planning,2021,ind,26,1.06
Planning,2021,ind,27,1.06
Planning,2021,ind,28,1.06
Planning,2021,ind,29,1.06
Planning,2021,ind,30,1.06
Planning,2021,ind,31,1.06
Planning,2021,ind,32,1.06
Planning,2021,ind,33,1.06
Planning,2021,ind,34,1.06
Planning,2021,ind,35,1.06
Planning,2021,ind,36,1.06
Planning,2021,ind,37,1.06
Planning,2021,ind,38,1.06
Planning,2021,ind,39,1.06
Planning,2021,ind,40,1.06
Planning,2021,ind,41,1.06
Planning,2021,ind,42,1.06
Planning,2022,res,1,1.07
Planning,2022,res,2,1.07
Planning,2022,res,3,1.07
Planning,2022,res,4,1.07
Planning,2022,res,5,1.07
Planning,2022,res,6,1.07
Planning,2022,res,7,1.07
Planning,2022,res,8,1.07
Planning,2022,res,9,1.07
Planning,2022,res,10,1.07
Planning,2022,res,11,1.07
Planning,2022,res,12,1.07
Planning,2022,res,13,1.07
Planning,2022,res,14,1.07
Planning,2022,res,15,1.07
Planning,2022,res,16,1.07
Planning,2022,res,17,1.07
Planning,2022,res,18,1.07
Planning,2022,res,19,1.07
Planning,2022,res,20,1.07
