Year 1 hourly electric load (kWh),Year 1 hourly sales/purchases without sytem ($),Hourly energy charge TOU period,Hourly demand charge TOU period,Hourly Energy (kWh)
349.357,-25.3353,1,1,0
299.992,-17189.5,1,1,0
287.77,-20.8691,1,1,0
287.77,-20.8691,1,1,0
287.77,-20.8691,1,1,0
287.77,-20.8691,1,1,0
299.992,-21.7554,1,1,0
349.358,-25.3354,1,1,0
512.618,-37.175,1,1,0
608.236,-44.1093,1,1,0.000834322
1178.91,-107.894,2,1,0.0266884
1306.88,-119.606,2,1,0.217743
1430.01,-130.875,2,1,0.311591
1449.62,-132.669,2,1,0.641483
1404.76,-128.564,2,1,0.397452
1467.54,-134.309,2,1,0.463599
1476.6,-135.138,2,1,0.450981
1481.4,-135.577,2,1,0.293323
1527.04,-139.754,2,1,0.0576583
1410.56,-129.094,2,1,0
1241.29,-113.603,2,1,0
1211.44,-110.871,2,1,0
1053.91,-96.4538,2,1,0
1005.26,-72.9015,1,1,0
349.357,-25.3353,1,1,0
299.992,-21.7554,1,1,0
287.77,-20.8691,1,1,0
287.77,-20.8691,1,1,0
287.77,-20.8691,1,1,0
287.77,-20.8691,1,1,0
299.992,-21.7554,1,1,0
349.358,-25.3354,1,1,0
429.867,-31.174,1,1,0
545.603,-39.5672,1,1,0.00555826
1157.97,-105.977,2,1,0.189754
