scenario,year,sector_abbr,country_abbr,control_reg_id,load_multiplier
High,2022,ind,MEX,1,1.295178804
High,2022,ind,MEX,2,1.316134098
High,2022,ind,MEX,3,1.300381327
High,2022,ind,MEX,4,1.381791124
High,2022,ind,MEX,5,1.303346694
High,2022,ind,MEX,6,1.367739171
High,2022,ind,MEX,7,1.347195743
High,2022,ind,MEX,8,1.324638512
High,2022,ind,MEX,9,1.499071663
Planning,2023,res,MEX,1,1.250218578
Planning,2023,res,MEX,2,1.276890762
Planning,2023,res,MEX,3,1.290869049
Planning,2023,res,MEX,4,1.393162075
Planning,2023,res,MEX,5,1.281037272
Planning,2023,res,MEX,6,1.350669413
Planning,2023,res,MEX,7,1.322065984
Planning,2023,res,MEX,8,1.298155166
Planning,2023,res,MEX,9,1.510265196
Low,2023,res,MEX,1,1.176855
Low,2023,res,MEX,2,1.220620346
Low,2023,res,MEX,3,1.246451785
Low,2023,res,MEX,4,1.337839364
Low,2023,res,MEX,5,1.231388863
Low,2023,res,MEX,6,1.276930484
Low,2023,res,MEX,7,1.275683319
Low,2023,res,MEX,8,1.241516757
Low,2023,res,MEX,9,1.451412668
High,2023,res,MEX,1,1.33867057
High,2023,res,MEX,2,1.374112021
High,2023,res,MEX,3,1.350810583
High,2023,res,MEX,4,1.441060229
High,2023,res,MEX,5,1.353991314
High,2023,res,MEX,6,1.435019429
High,2023,res,MEX,7,1.415267263
High,2023,res,MEX,8,1.381582466
High,2023,res,MEX,9,1.580028065
Planning,2023,com,MEX,1,1.250218578
Planning,2023,com,MEX,2,1.276890762
Planning,2023,com,MEX,3,1.290869049
Planning,2023,com,MEX,4,1.393162075
Planning,2023,com,MEX,5,1.281037272
Planning,2023,com,MEX,6,1.350669413
Planning,2023,com,MEX,7,1.322065984
Planning,2023,com,MEX,8,1.298155166
Planning,2023,com,MEX,9,1.510265196
Low,2023,com,MEX,1,1.176855
Low,2023,com,MEX,2,1.220620346
Low,2023,com,MEX,3,1.246451785
Low,2023,com,MEX,4,1.337839364
Low,2023,com,MEX,5,1.231388863
Low,2023,com,MEX,6,1.276930484
Low,2023,com,MEX,7,1.275683319
Low,2023,com,MEX,8,1.241516757
Low,2023,com,MEX,9,1.451412668
